,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
59,4D6E60,925,742,353,426,999,959,739,599,790,446,255,907,667,514,0,0,0,0,0,232,878,829,599,196,488,900,814,566,716,631,NA
60,4D6A92,370,0,0,0,0,0,0,0,269,72,268,306,0,0,0,0,0,0,0,0,713,780,0,0,0,0,547,0,0,0,NA
61,1B2A46A,0,228,499,4,0,2,547,278,881,164,105,0,803,939,676,347,13,0,49,119,70,166,106,0,0,0,0,0,0,0,NA
62,4D6E94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
63,4D6DCB,725,283,0,364,1063,342,428,1064,303,0,384,1004,554,391,1061,451,0,0,407,1008,401,1064,503,0,380,154,0,0,0,0,NA
64,4D6F6C,1114,1084,34,570,1097,1090,1130,413,87,7,503,1087,1090,1111,1051,524,0,0,965,952,1067,1074,1076,112,999,1105,1014,1136,990,15,NA
65,4D6F68,722,450,19,0,557,940,887,187,0,0,314,691,767,562,570,264,0,0,515,204,424,549,547,180,321,919,556,878,608,0,NA
66,4D6E48,92,151,39,9,169,86,64,66,109,78,67,260,262,220,267,127,0,3,101,192,119,130,104,20,127,196,150,104,0,124,NA
67,4D6D0A,1052,1018,512,878,1118,1153,1138,1162,1314,429,770,1117,1097,1160,1167,1161,333,668,1070,1250,1169,1132,1147,142,794,1287,1005,1179,1152,219,NA
68,4D6ABA,69,92,51,38,93,89,116,97,92,6,44,81,103,97,78,74,34,35,97,102,95,83,187,24,66,119,117,123,98,93,NA
69,4D6A9B,715,643,248,676,830,919,885,678,291,37,199,128,252,252,317,1025,116,251,835,988,532,460,452,64,814,1159,1133,1168,858,820,NA
70,4D6E59,528,812,0,563,1085,222,1059,854,1015,551,588,1136,962,582,792,820,480,0,558,779,693,686,1012,538,512,947,1188,977,1114,738,NA
71,4D6F91,773,938,700,843,1182,1078,1166,1107,52,0,586,1217,1082,1025,1228,1216,26,0,989,1194,1195,1154,1195,196,726,1187,1200,1093,394,0,NA
72,4D6E96,1254,1249,461,604,1217,1073,1189,1282,1310,158,607,1290,1149,1094,1184,959,437,0,495,1254,1200,1214,1230,529,558,1287,1300,1222,1243,1293,NA
73,4D6D5D,1049,941,0,479,1121,993,989,880,903,409,534,1126,1135,1047,915,1015,0,461,958,1102,1106,1132,1429,495,1439,971,1115,1104,1046,984,NA
74,4D6DA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
75,4D6B0D,0,0,0,0,0,675,1440,1418,1408,1435,1340,983,1371,1391,1388,1182,736,1386,1414,1420,1405,1370,1421,1435,124,0,0,0,0,0,NA
76,4D7134,444,744,0,1030,1435,1435,1308,1409,1388,1103,965,1284,1238,1210,1246,1319,1440,1232,1295,1250,1393,1390,1319,1281,1433,962,1426,1370,1357,1278,NA
77,4D6D44,1440,1440,891,1258,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1439,1286,1440,1440,1440,1440,1440,1440,1440,1440,1440,1438,NA
78,4D6D3E,1440,1440,771,872,1440,1440,1440,1440,1404,1265,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1339,1440,1440,1437,NA
79,4D6D56,449,566,362,1291,498,964,735,528,691,0,501,561,1031,468,879,439,0,5,410,564,1023,513,928,496,1440,85,787,618,427,453,NA
80,4D6CE7,1440,1440,1439,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,NA
81,4D6DE1,1440,1440,1440,1440,1440,1440,1440,1440,1440,1439,1440,1440,1440,1440,1439,1440,1440,1440,1440,1440,1440,1440,1437,1440,1440,1439,1440,1440,1439,1440,NA
82,4D6D6B,1440,1440,1440,1440,1440,1440,1440,1440,1439,1314,1434,1440,1440,1440,1440,1440,1440,1440,1440,1439,1440,1440,1440,747,1438,1440,1440,1439,1440,1439,NA
